City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
266,Balikpapan,ID,76.19,thunderstorm with rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
267,Haapiti,PF,80.33,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
268,Bengkulu,ID,75.16,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
270,Suleja,NG,82.29,broken clouds,9.1758,7.1808,Capy Motel
273,San Patricio,US,84.07,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
277,Kavaratti,IN,82.85,few clouds,10.5669,72.642,Green leaf
279,Carutapera,BR,86.27,clear sky,-1.195,-46.02,Lidera
280,Riyadh,SA,78.94,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
281,Kuching,MY,75.42,moderate rain,1.55,110.3333,Hilton Kuching
283,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
289,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
290,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
291,Morondava,MG,81.27,clear sky,-20.2833,44.2833,La Case Bambou
294,Meulaboh,ID,77.52,overcast clouds,4.1363,96.1285,Kost Pria
296,Shagamu,NG,80.04,moderate rain,6.8432,3.6478,Remo Majestic Hotel
301,Bilma,NE,78.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
303,Key Largo,US,80.6,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
304,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Central
308,Bolitoc,PH,79.16,overcast clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
309,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
311,Nieuw Amsterdam,SR,88.14,overcast clouds,5.8833,-55.0833,Hotel Stardust
315,Marovoay,MG,80.49,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
321,Benguela,AO,76.84,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
332,Adrar,MR,88.09,broken clouds,20.5022,-10.0711,
334,Gizo,SB,82.54,moderate rain,-8.103,156.8419,Imagination Island
335,Bandarbeyla,SO,80.1,light rain,9.4942,50.8122,JABIR HOTEL
336,Acari,PE,78.31,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
341,Progreso,MX,85.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
343,Salvador,SV,82.8,few clouds,13.8333,-88.9167,Chico's Ranch
348,Lhokseumawe,ID,77.45,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
350,Itaqui,BR,84.2,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
352,Puerto Madryn,AR,76.35,broken clouds,-42.7692,-65.0385,Hotel Tolosa
357,Dhidhdhoo,MV,80.24,broken clouds,6.8833,73.1,Dhidhoo beach
360,Pochutla,MX,86.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
365,Baiao,BR,88.81,broken clouds,-2.7906,-49.6717,Município de Baião
366,Esmeraldas,BR,83.26,scattered clouds,-19.7625,-44.3139,Forasteiro Pousada
368,Indramayu,ID,77.52,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
380,Phan Thiet,VN,76.42,overcast clouds,10.9333,108.1,Hotel Saigon-PT
391,Belmonte,BR,77.92,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
394,Gamba,GA,77.56,overcast clouds,-2.65,10.0,
395,Stillwater,US,75.81,broken clouds,36.1156,-97.0584,Hampton Inn & Suites Stillwater
398,Luwuk,ID,77.68,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
409,Praya,CV,80.4,overcast clouds,14.9215,-23.5087,LT Aparthotel
413,Chipata,ZM,78.22,overcast clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
415,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
424,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
427,Kokopo,PG,76.96,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
428,Kota Tinggi,MY,78.84,overcast clouds,1.7381,103.8999,Canopy Tribe
431,Dourbali,TD,89.73,few clouds,11.8091,15.8632,
432,Aitape,PG,77.0,moderate rain,-3.1374,142.3475,
434,Fomboni,KM,78.37,clear sky,-12.28,43.7425,Auberge les abou
435,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
436,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
437,Culebra,PR,84.24,broken clouds,18.303,-65.301,Palmetto Guesthouse
438,Teofilo Otoni,BR,86.94,overcast clouds,-17.8575,-41.5053,Hotel Nobre Palace
441,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
