City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2022-11-09 03:03:12,62.456,-114.3525,14.56,78,100,11.01
68,Constitucion,CL,2022-11-09 03:00:57,-35.3333,-72.4167,53.11,95,91,3.51
69,Hobyo,SO,2022-11-09 03:03:13,5.3505,48.5268,79.47,75,15,6.33
70,Smithers,CA,2022-11-09 03:03:13,54.7804,-127.1743,12.36,84,100,1.86
71,Byron Bay,AU,2022-11-09 03:02:11,-28.65,153.6167,72.72,56,41,13.24
72,Esperance,AU,2022-11-09 03:03:14,-33.8667,121.9,61.5,69,100,11.95
73,Cozumel,MX,2022-11-09 03:01:38,20.5083,-86.9458,80.08,79,9,8.01
74,Ileza,RU,2022-11-09 03:03:14,61.0533,43.9002,34.68,98,100,5.75
75,Yangshe,CN,2022-11-09 03:03:15,31.8899,120.6052,70.0,86,22,3.0
76,Chapais,CA,2022-11-09 03:03:15,49.7834,-74.8492,23.76,89,68,3.24
77,Sidney,AU,2022-11-09 03:00:16,-33.8679,151.2073,75.61,57,0,19.57
78,Cherskiy,RU,2022-11-09 03:03:16,68.75,161.3,-7.15,99,98,3.2
79,La Ronge,CA,2022-11-09 03:03:16,55.1001,-105.2842,7.2,95,99,4.92
80,Longyearbyen,SJ,2022-11-09 03:01:16,78.2186,15.6401,22.84,80,75,8.05
81,Upernavik,GL,2022-11-09 03:03:17,72.7868,-56.1549,5.99,68,69,7.05
82,Presidente Epitacio,BR,2022-11-09 03:03:17,-21.7633,-52.1156,67.05,53,2,6.06
83,Norman Wells,CA,2022-11-09 03:03:17,65.282,-126.8329,8.64,72,100,4.61
84,Krasnoselkup,RU,2022-11-09 03:03:18,65.7,82.4667,12.85,95,100,9.71
85,San Patricio,US,2022-11-09 03:03:18,28.017,-97.5169,78.67,76,9,12.08
86,Adrar,MR,2022-11-09 03:02:26,20.5022,-10.0711,74.37,18,93,9.57
87,Carnarvon,AU,2022-11-09 03:03:19,-24.8667,113.6333,71.11,50,66,11.27
88,Gerash,IR,2022-11-09 03:03:19,27.6652,54.1371,67.23,57,53,3.24
89,Eureka,US,2022-11-09 03:04:20,40.8021,-124.1637,45.93,96,100,1.99
90,Severo-Yeniseyskiy,RU,2022-11-09 03:04:20,60.3725,93.0408,18.25,91,100,9.89
91,Bethel,US,2022-11-09 03:04:21,41.3712,-73.414,45.64,52,0,1.01
92,Bluff,NZ,2022-11-09 03:04:21,-46.6,168.3333,54.84,74,78,14.67
93,Punta Arenas,CL,2022-11-09 03:04:21,-53.15,-70.9167,50.11,62,75,25.32
94,Qaanaaq,GL,2022-11-09 03:04:22,77.484,-69.3632,-9.81,66,17,7.58
95,Hamilton,US,2022-11-09 03:04:23,39.1834,-84.5333,52.88,53,20,9.22
96,Daru,PG,2022-11-09 03:04:23,-9.0763,143.2092,85.64,68,100,12.35
97,Acapulco,MX,2022-11-09 03:02:50,16.8634,-99.8901,80.42,89,75,2.3
98,Calmar,CA,2022-11-09 03:04:24,53.2668,-113.8187,-2.38,83,100,6.38
99,Hutchinson,US,2022-11-09 02:59:58,38.0608,-97.9298,66.58,93,100,3.0
100,Smolyaninovo,RU,2022-11-09 03:04:24,43.2956,132.4675,54.86,67,5,9.48
101,Clyde River,CA,2022-11-09 03:04:24,70.4692,-68.5914,3.43,78,100,17.27
102,Portland,US,2022-11-09 03:00:13,45.5234,-122.6762,45.55,72,94,5.99
103,Port Alfred,ZA,2022-11-09 03:04:25,-33.5906,26.891,64.18,93,100,5.01
104,Gazanjyk,TM,2022-11-09 03:04:25,39.2446,55.5154,40.57,59,0,14.7
105,Port Elizabeth,ZA,2022-11-09 03:04:26,-33.918,25.5701,65.1,89,100,5.01
106,Matara,LK,2022-11-09 03:04:26,5.9485,80.5353,78.17,87,100,4.18
107,Karratha,AU,2022-11-09 03:04:27,-20.7377,116.8463,85.15,28,0,11.21
108,Avarua,CK,2022-11-09 03:04:27,-21.2078,-159.775,75.25,69,75,14.97
109,Ulaangom,MN,2022-11-09 03:01:12,49.9811,92.0667,33.82,60,100,1.9
110,Sabha,LY,2022-11-09 03:04:28,27.0377,14.4283,59.5,65,0,8.01
111,Georgetown,MY,2022-11-09 03:02:26,5.4112,100.3354,84.13,81,20,8.05
112,Oistins,BB,2022-11-09 03:02:25,13.0667,-59.5333,79.75,82,85,18.25
113,Saskylakh,RU,2022-11-09 03:04:28,71.9167,114.0833,0.37,98,100,2.86
