City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hammerfest,NO,70.6634,23.6821,32.45,86,40,5.75,scattered clouds
80,Whyalla,AU,-33.0333,137.5833,67.55,80,74,1.83,broken clouds
81,Porto Novo,BJ,6.4965,2.6036,82.26,75,86,9.01,overcast clouds
82,Ous,RU,60.9058,61.5186,31.71,97,100,2.77,overcast clouds
83,Kaitangata,NZ,-46.2817,169.8464,38.48,91,6,3.33,clear sky
84,Saldanha,ZA,-33.0117,17.9442,60.57,73,2,17.38,clear sky
85,Alofi,NU,-19.0595,-169.9187,76.03,76,66,23.29,broken clouds
86,Paso De Los Toros,UY,-32.8167,-56.5167,76.08,38,63,13.58,broken clouds
87,Vaini,TO,-21.2,-175.2,73.56,94,75,5.75,broken clouds
88,Makakilo City,US,21.3469,-158.0858,75.52,70,20,9.22,few clouds
89,Punta Arenas,CL,-53.15,-70.9167,53.62,57,75,23.02,broken clouds
90,Alta,NO,69.9689,23.2717,29.46,93,75,2.3,broken clouds
91,Mimongo,GA,-1.6195,11.6068,71.64,96,96,1.81,light rain
92,Cherskiy,RU,68.75,161.3,-4.09,100,100,2.82,overcast clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,13.51,96,74,3.42,broken clouds
94,Olafsvik,IS,64.8945,-23.7142,40.77,89,97,20.38,overcast clouds
95,Castro,BR,-24.7911,-50.0119,74.71,35,1,7.07,clear sky
96,Necochea,AR,-38.5473,-58.7368,81.25,30,60,12.39,broken clouds
97,Barcelona,ES,41.3888,2.159,71.85,55,20,5.75,few clouds
98,Saskylakh,RU,71.9167,114.0833,-23.57,100,25,5.26,scattered clouds
99,Nanzhou,CN,29.3596,112.4024,69.33,54,0,4.21,clear sky
100,Kahului,US,20.8947,-156.47,76.84,74,20,13.8,few clouds
101,Leningradskiy,RU,69.3833,178.4167,5.61,85,100,7.85,overcast clouds
102,Longyearbyen,SJ,78.2186,15.6401,21.04,73,0,10.36,clear sky
103,Kazachinskoye,RU,57.6953,93.2761,25.59,86,100,8.66,overcast clouds
104,Kerepehi,NZ,-37.3,175.5333,61.05,97,21,3.56,few clouds
105,Vieste,IT,41.8825,16.175,63.03,70,86,8.81,overcast clouds
106,Sovetskiy,RU,61.3614,63.5842,29.08,99,100,3.11,overcast clouds
107,Pangoa,PE,-12.1167,-73.0,91.04,36,25,4.9,scattered clouds
108,Pevek,RU,69.7008,170.3133,-9.15,100,100,3.53,overcast clouds
109,Labuhan,ID,-6.8844,112.2051,80.96,77,100,5.37,overcast clouds
110,Georgetown,MY,5.4112,100.3354,81.9,86,20,0.0,few clouds
111,Naze,JP,28.3667,129.4833,69.66,77,100,12.75,overcast clouds
112,Rovaniemi,FI,66.5,25.7167,27.81,100,100,10.36,light snow
113,Norman Wells,CA,65.282,-126.8329,8.42,91,72,3.62,broken clouds
114,Dikson,RU,73.5069,80.5464,5.52,85,100,8.43,overcast clouds
115,Waipawa,NZ,-41.4122,175.5153,51.62,89,91,14.63,overcast clouds
116,Camana,PE,-16.6228,-72.7111,68.88,69,18,8.21,few clouds
117,Salinas,US,36.6777,-121.6555,53.51,83,20,8.05,few clouds
118,Banjar,ID,-8.19,114.9675,77.22,89,99,2.24,overcast clouds
119,Taoudenni,ML,22.6783,-3.9836,86.34,9,64,7.56,broken clouds
120,Kavieng,PG,-2.5744,150.7967,82.35,75,93,4.92,overcast clouds
121,Hermanus,ZA,-34.4187,19.2345,60.8,64,71,10.56,broken clouds
122,Sao Filipe,CV,14.8961,-24.4956,79.07,66,100,4.99,overcast clouds
123,Chambar,PK,25.2931,68.812,79.7,35,0,3.85,clear sky
124,Tautira,PF,-17.7333,-149.15,76.59,82,23,13.53,light rain
125,Airai,TL,-8.9266,125.4092,61.88,94,26,0.98,scattered clouds
126,Dingle,PH,10.9995,122.6711,76.93,91,99,7.25,light rain
